"Ranking","Teams","Points"
"1","Australia","278"
"2","England","268"
"3","India","266"
"4","Pakistan","260"
"5","South Africa","258"
"6","New Zealand","242"
"7","Sri Lanka","230"
"8","Bangladesh","229"
"9","West Indies","229"
"10","Afghanistan","228"
"11","Zimbabwe","191"
"12","Ireland","190"
"13","United Arab Emirates","186"
"14","Scotland","182"
"15","Nepal","180"
"16","Papua New Guinea","179"
"17","Netherlands","178"
"18","Oman","176"
"19","Namibia","157"
"20","Singapore","142"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
