Team 1,Team 2,Result(Won)
 South Africa,West Indies,South Africa 
 Kenya,New Zealand,New Zealand 
Pakistan , Scotland,Pakistan
 Australia,Zimbabwe,Zimbabwe 
 Bangladesh,West Indies,Bangladesh 
 England,Zimbabwe,England 
India,Scotland,No result
 Kenya,Sri Lanka,Sri Lanka 
 Australia ,England,Australia
 India,Pakistan,India 
 New Zealand,Sri Lanka,Sri Lanka 
 South Africa,Bangladesh,South Africa
 India,New Zealand,New Zealand 
 Australia,Bangladesh,Australia 
 South Africa,England,South Africa 
 Pakistan,Sri Lanka,Pakistan 
 England ,New Zealand,New Zealand 
 Australia ,Pakistan,Pakistan 
 Bangladesh,Sri Lanka,Sri Lanka 
 South Africa,New Zealand,South Africa 
 England,India,India 
 Australia,Sri Lanka,Australia 
Bangladesh,Pakistan,Pakistan 
 South Africa,India,India 
 New Zealand,Pakistan,Pakistan 
 Australia,India,India 
 India,Pakistan,India 
England,Netherlands,Netherlands 
New Zealand,Scotland,New Zealand 
Australia,West Indies,West Indies 
Bangladesh,India,India 
Scotland,South Africa,South Africa 
England,Pakistan,England 
Bangladesh,Ireland,Ireland 
Australia,Sri Lanka,Sri Lanka 
Netherlands,Pakistan,Pakistan 
New Zealand,South Africa,South Africa 
Sri Lanka,West Indies,Sri Lanka 
India,Ireland,India 
Ireland ,New Zealand,New Zealand 
England,South Africa,South Africa 
Pakistan ,Sri Lanka,Sri Lanka 
India ,West Indies,West Indies
South Africa,West Indies,South Africa 
New Zealand,Pakistan,Pakistan 
Ireland,Sri Lanka,Sri Lanka 
England,India,England 
Ireland,Pakistan,Pakistan 
England,West Indies,West Indies 
New Zealand,Sri Lanka,Sri Lanka 
India ,South Africa,South Africa 
Pakistan,South Africa,Pakistan 
Sri Lanka,West Indies,Sri Lanka 
Pakistan,Sri Lanka,Pakistan 
New Zealand,Sri Lanka,New Zealand 
West Indies ,Ireland,West Indies 
Afghanistan ,India,India 
Bangladesh,Pakistan,Pakistan 
India,South Africa,India 
Australia,Pakistan,Australia
Sri Lanka,Zimbabwe,Sri Lanka
West Indies,England,West Indies 
New Zealand,Zimbabwe,New Zealand 
England ,Ireland,No result
Australia,Bangladesh,Australia 
Afghanistan,South Africa,South Africa 
England , Pakistan,England 
New Zealand,South Africa,South Africa 
Australia,India,Australia 
West Indies,Sri Lanka,Sri Lanka 
New Zealand,Pakistan,New Zealand 
England,South Africa,England 
West Indies ,India,West Indies 
Australia,Sri Lanka,Australia 
Pakistan,South Africa,Pakistan 
England,New Zealand,England 
India,Sri Lanka,Sri Lanka 
West Indies,Australia,Australia 
England,Sri Lanka,England 
Australia,Pakistan,Australia 
Australia,England,England 
Sri Lanka,Zimbabwe,Sri Lanka 
Australia,Ireland,Australia 
Afghanistan,India,India 
South Africa ,Zimbabwe,South Africa 
Bangladesh,New Zealand,New Zealand 
Afghanistan,England,England 
Sri Lanka,South Africa,South Africa 
Australia,West Indies,Australia 
New Zealand,Pakistan,Pakistan 
England,India,India 
Ireland,West Indies,No result
Bangladesh,Pakistan,Pakistan 
Sri Lanka,New Zealand,Sri Lanka 
England,West Indies,West Indies
Pakistan , South Africa,Pakistan 
Australia,India,Australia 
England,New Zealand,England
Sri Lanka,West Indies,Sri Lanka 
Australia,South Africa,Australia 
India v,Pakistan,India 
New Zealand ,West Indies,West Indies 
